Currency Code,Currency Name,Country,Currency Name (Russian),Country (Russian)
AED,UAE Dirham,United Arab Emirates,Дирхам ОАЭ,Объединенные Арабские Эмираты
AFN,Afghan Afghani,Afghanistan,Афганский афгани,Афганистан
ALL,Albanian Lek,Albania,Албанский лек,Албания
AMD,Armenian Dram,Armenia,Армянский драм,Армения
ANG,Netherlands Antillian Guilder,Netherlands Antilles,Нидерландский антильский гульден,Нидерландские Антильские острова
AOA,Angolan Kwanza,Angola,Ангольская кванза,Ангола
ARS,Argentine Peso,Argentina,Аргентинское песо,Аргентина
AUD,Australian Dollar,Australia,Австралийский доллар,Австралия
AWG,Aruban Florin,Aruba,Арубанский флорин,Аруба
AZN,Azerbaijani Manat,Azerbaijan,Азербайджанский манат,Азербайджан
BAM,Bosnia and Herzegovina Mark,Bosnia and Herzegovina,Боснийская марка,Босния и Герцеговина
BBD,Barbados Dollar,Barbados,Барбадосский доллар,Барбадос
BDT,Bangladeshi Taka,Bangladesh,Бангладешская така,Бангладеш
BGN,Bulgarian Lev,Bulgaria,Болгарский лев,Болгария
BHD,Bahraini Dinar,Bahrain,Бахрейнский динар,Бахрейн
BIF,Burundian Franc,Burundi,Бурундийский франк,Бурунди
BMD,Bermudian Dollar,Bermuda,Бермудский доллар,Бермудские острова
BND,Brunei Dollar,Brunei,Брунейский доллар,Бруней
BOB,Bolivian Boliviano,Bolivia,Боливийский боливиано,Боливия
BRL,Brazilian Real,Brazil,Бразильский реал,Бразилия
BSD,Bahamian Dollar,Bahamas,Багамский доллар,Багамы
BTN,Bhutanese Ngultrum,Bhutan,Бутанский нгултрум,Бутан
BWP,Botswana Pula,Botswana,Ботсванский пула,Ботсвана
BYN,Belarusian Ruble,Belarus,Белорусский рубль,Беларусь
BZD,Belize Dollar,Belize,Белизский доллар,Белиз
CAD,Canadian Dollar,Canada,Канадский доллар,Канада
CDF,Congolese Franc,Democratic Republic of the Congo,Конголезский франк,Демократическая Республика Конго
CHF,Swiss Franc,Switzerland,Швейцарский франк,Швейцария
CLP,Chilean Peso,Chile,Чилийское песо,Чили
CNY,Chinese Renminbi,China,Китайский юань,Китай
COP,Colombian Peso,Colombia,Колумбийское песо,Колумбия
CRC,Costa Rican Colon,Costa Rica,Коста-риканский колон,Коста-Рика
CUP,Cuban Peso,Cuba,Кубинское песо,Куба
CVE,Cape Verdean Escudo,Cape Verde,Кабо-вердианский эскудо,Кабо-Верде
CZK,Czech Koruna,Czech Republic,Чешская крона,Чехия
DJF,Djiboutian Franc,Djibouti,Джибутийский франк,Джибути
DKK,Danish Krone,Denmark,Датская крона,Дания
DOP,Dominican Peso,Dominican Republic,Доминиканское песо,Доминиканская Республика
DZD,Algerian Dinar,Algeria,Алжирский динар,Алжир
EGP,Egyptian Pound,Egypt,Египетский фунт,Египет
ERN,Eritrean Nakfa,Eritrea,Эритрейская накфа,Эритрея
ETB,Ethiopian Birr,Ethiopia,Эфиопский бирр,Эфиопия
EUR,Euro,European Union,Евро,Европейский Союз
FJD,Fiji Dollar,Fiji,Фиджийский доллар,Фиджи
FKP,Falkland Islands Pound,Falkland Islands,Фолклендский фунт,Фолклендские острова
FOK,Faroese Króna,Faroe Islands,Фарерская крона,Фарерские острова
GBP,Pound Sterling,United Kingdom,Фунт стерлингов,Великобритания
GEL,Georgian Lari,Georgia,Грузинский лари,Грузия
GGP,Guernsey Pound,Guernsey,Гернсийский фунт,Гернси
GHS,Ghanaian Cedi,Ghana,Ганийский седи,Гана
GIP,Gibraltar Pound,Gibraltar,Гибралтарский фунт,Гибралтар
GMD,Gambian Dalasi,The Gambia,Гамбийский даласи,Гамбия
GNF,Guinean Franc,Guinea,Гвинейский франк,Гвинея
GTQ,Guatemalan Quetzal,Guatemala,Гватемальский кетсаль,Гватемала
GYD,Guyanese Dollar,Guyana,Гайанский доллар,Гайана
HKD,Hong Kong Dollar,Hong Kong,Гонконгский доллар,Гонконг
HNL,Honduran Lempira,Honduras,Гондурасский лемпира,Гондурас
HRK,Croatian Kuna,Croatia,Хорватская куна,Хорватия
HTG,Haitian Gourde,Haiti,Гаитянский гурд,Гаити
HUF,Hungarian Forint,Hungary,Венгерский форинт,Венгрия
IDR,Indonesian Rupiah,Indonesia,Индонезийская рупия,Индонезия
ILS,Israeli New Shekel,Israel,Израильский новый шекель,Израиль
IMP,Manx Pound,Isle of Man,Мэнский фунт,Остров Мэн
INR,Indian Rupee,India,Индийская рупия,Индия
IQD,Iraqi Dinar,Iraq,Иракский динар,Ирак
IRR,Iranian Rial,Iran,Иранский риал,Иран
ISK,Icelandic Króna,Iceland,Исландская крона,Исландия
JEP,Jersey Pound,Jersey,Джерсийский фунт,Джерси
JMD,Jamaican Dollar,Jamaica,Ямайский доллар,Ямайка
JOD,Jordanian Dinar,Jordan,Иорданский динар,Иордания
JPY,Japanese Yen,Japan,Японская иена,Япония
KES,Kenyan Shilling,Kenya,Кенийский шиллинг,Кения
KGS,Kyrgyzstani Som,Kyrgyzstan,Кыргызский сом,Кыргызстан
KHR,Cambodian Riel,Cambodia,Камбоджийский риель,Камбоджа
KID,Kiribati Dollar,Kiribati,Кирибатийский доллар,Кирибати
KMF,Comorian Franc,Comoros,Коморский франк,Коморские Острова
KRW,South Korean Won,South Korea,Южнокорейская вона,Южная Корея
